"id","level","class_name","article","status","source","create_date","target_url"
1633687,"FATAL","Faraday::ResourceNotFound","10.3125/hists.v3i0.312",404,NA,"2014-11-12T21:29:12Z","http://dx.doi.org/10.3125/hists.v3i0.312"
1633686,"FATAL","Faraday::ResourceNotFound","10.3134/ehtj.09.001",404,NA,"2014-11-12T21:29:09Z","http://dx.doi.org/10.3134/ehtj.09.001"
1633685,"FATAL","Faraday::ResourceNotFound","10.4081/thal.2014.s1.2200",404,NA,"2014-11-12T21:29:06Z","http://www.pagepressjournals.org/index.php/thal/index"
1633684,"ERROR","Net::HTTPNotAcceptable","10.5700/rege427",406,NA,"2014-11-12T21:29:04Z","http://dx.doi.org/10.5700/rege427"
1633683,"FATAL","Faraday::ResourceNotFound","10.3125/econst.v293i10.215",404,NA,"2014-11-12T21:29:03Z","http://dx.doi.org/10.3125/econst.v293i10.215"
1633682,"FATAL","Faraday::ResourceNotFound","10.3134/ehtj.09.012",404,NA,"2014-11-12T21:28:52Z","http://dx.doi.org/10.3134/ehtj.09.012"
1633681,"ERROR","Net::HTTPNotAcceptable","10.5700/rege353",406,NA,"2014-11-12T21:28:42Z","http://dx.doi.org/10.5700/rege353"
1633679,"FATAL","Faraday::ResourceNotFound","10.5007/29332",404,NA,"2014-11-12T21:28:10Z","http://dx.doi.org/10.5007/29332"
1633680,"FATAL","Faraday::ResourceNotFound","10.5007/33936",404,NA,"2014-11-12T21:28:10Z","http://dx.doi.org/10.5007/33936"
1633678,"FATAL","Faraday::ResourceNotFound","10.5007/29149",404,NA,"2014-11-12T21:28:07Z","http://dx.doi.org/10.5007/29149"
1633677,"FATAL","Faraday::ResourceNotFound","10.5007/30857",404,NA,"2014-11-12T21:28:06Z","http://dx.doi.org/10.5007/30857"
1633676,"FATAL","Faraday::ResourceNotFound","10.15517/am.v25i2.15428",404,NA,"2014-11-12T21:27:28Z","http://dx.doi.org/10.15517/am.v25i2.15428"
1633674,"FATAL","Faraday::ResourceNotFound","10.15517/aie.v13i1.8569",404,NA,"2014-11-12T21:27:15Z","http://revistas.ucr.ac.cr/index.php/aie/index"
1633673,"FATAL","Faraday::ResourceNotFound","10.15517/aie.v13i1.8572",404,NA,"2014-11-12T21:26:59Z","http://revistas.ucr.ac.cr/index.php/aie/index"
1633671,"FATAL","Faraday::ResourceNotFound","10.4322/tmm.00601000",404,NA,"2014-11-12T21:26:52Z","http://dx.doi.org/10.4322/tmm.00601000"
1633672,"ERROR","Faraday::ResourceNotFound","10.4322/sc.2014.002",404,NA,"2014-11-12T21:26:52Z","http://www.scientiachromatographica.com/doi/10.4322/sc.2014.002"
